省名称,市名称,longitude,latitude
北京,北京,116.395645,39.929986
上海,上海,121.487899,31.249162
天津,天津,117.210813,39.14393
重庆,重庆,106.530635,29.544606
香港,香港,114.186124,22.293586
澳门,澳门,113.557519,22.204118
台湾,台湾,120.961454,23.80406
安徽,合肥,117.282699,31.866942
安徽,安庆,117.058739,30.537898
安徽,蚌埠,117.35708,32.929499
安徽,亳州,115.787928,33.871211
安徽,巢湖,117.88049,31.608733
安徽,池州,117.494477,30.660019
安徽,滁州,118.32457,32.317351
安徽,阜阳,115.820932,32.901211
安徽,淮北,116.791447,33.960023
安徽,淮南,117.018639,32.642812
安徽,黄山,118.29357,29.734435
安徽,六安,116.505253,31.755558
安徽,马鞍山,118.515882,31.688528
安徽,宿州,116.988692,33.636772
安徽,铜陵,117.819429,30.94093
安徽,芜湖,118.384108,31.36602
安徽,宣城,118.752096,30.951642
福建,福州,119.330221,26.047125
福建,龙岩,117.017997,25.078685
福建,南平,118.181883,26.643626
福建,宁德,119.542082,26.656527
福建,莆田,119.077731,25.44845
福建,泉州,118.600362,24.901652
福建,三明,117.642194,26.270835
福建,厦门,118.103886,24.489231
福建,漳州,117.676205,24.517065
甘肃,兰州,103.823305,36.064226
甘肃,白银,104.171241,36.546682
甘肃,定西,104.626638,35.586056
甘肃,甘南州,102.917442,34.992211
甘肃,嘉峪关,98.281635,39.802397
甘肃,金昌,102.208126,38.516072
甘肃,酒泉,98.508415,39.741474
甘肃,临夏州,103.215249,35.598514
甘肃,陇南,104.934573,33.39448
甘肃,平凉,106.688911,35.55011
甘肃,庆阳,107.644227,35.726801
甘肃,天水,105.736932,34.584319
甘肃,武威,102.640147,37.933172
甘肃,张掖,100.459892,38.93932
广东,广州,113.30765,23.120049
广东,潮州,116.630076,23.661812
广东,东莞,113.763434,23.043024
广东,佛山,113.134026,23.035095
广东,河源,114.713721,23.757251
广东,惠州,114.410658,23.11354
广东,江门,113.078125,22.575117
广东,揭阳,116.379501,23.547999
广东,茂名,110.931245,21.668226
广东,梅州,116.126403,24.304571
广东,清远,113.040773,23.698469
广东,汕头,116.72865,23.383908
广东,汕尾,115.372924,22.778731
广东,韶关,113.594461,24.80296
广东,深圳,114.025974,22.546054
